instance_id,OpenHands + Claude-Sonnet 4,GUIRepair + o3,Refact.ai Agent,GUIRepair + o4 mini,SWE-agent Multimodal + GPT 4o
openlayers__openlayers-11545,Yes,Yes,Yes,Yes,
openlayers__openlayers-14332,Yes,Yes,Yes,Yes,
openlayers__openlayers-14719,Yes,Yes,Yes,Yes,
openlayers__openlayers-15229,Yes,Yes,Yes,Yes,
openlayers__openlayers-9333,Yes,Yes,Yes,Yes,
openlayers__openlayers-14932,Yes,Yes,Yes,Yes,
openlayers__openlayers-10478,Yes,Yes,Yes,Yes,
openlayers__openlayers-13547,Yes,Yes,Yes,Yes,
openlayers__openlayers-14100,Yes,Yes,Yes,Yes,
PrismJS__prism-3351,No,No,No,No,
PrismJS__prism-2348,No,No,No,No,
PrismJS__prism-1853,No,No,Yes,No,
PrismJS__prism-1747,No,No,No,No,
PrismJS__prism-1895,Yes,Yes,Yes,No,
PrismJS__prism-1897,No,No,No,No,
PrismJS__prism-1572,No,No,No,No,
PrismJS__prism-2841,No,No,No,No,
PrismJS__prism-2295,No,No,No,No,
PrismJS__prism-2182,Yes,Yes,Yes,Yes,
PrismJS__prism-1573,No,No,No,No,
PrismJS__prism-2686,No,No,No,No,
PrismJS__prism-1500,No,No,Yes,No,
PrismJS__prism-1602,Yes,Yes,Yes,Yes,
PrismJS__prism-1887,Yes,No,Yes,No,
PrismJS__prism-2754,No,No,No,No,
PrismJS__prism-2946,Yes,No,No,No,
PrismJS__prism-2195,Yes,Yes,No,Yes,
PrismJS__prism-3001,No,No,No,No,
PrismJS__prism-2782,No,No,No,No,
PrismJS__prism-3050,No,No,No,No,
PrismJS__prism-2705,Yes,Yes,Yes,No,
PrismJS__prism-3141,No,No,No,No,
PrismJS__prism-2622,No,No,No,No,
PrismJS__prism-2678,No,No,No,No,
PrismJS__prism-2680,No,No,No,No,
PrismJS__prism-3442,No,No,No,No,
PrismJS__prism-2703,Yes,Yes,Yes,No,
PrismJS__prism-2792,No,No,No,No,
PrismJS__prism-2713,No,No,No,No,
PrismJS__prism-3174,Yes,Yes,Yes,Yes,
PrismJS__prism-1585,Yes,Yes,Yes,Yes,
PrismJS__prism-3438,Yes,No,No,No,
PrismJS__prism-3355,No,No,No,No,
PrismJS__prism-2029,No,No,No,No,
PrismJS__prism-3372,No,No,No,No,
PrismJS__prism-2649,No,No,No,No,
PrismJS__prism-2861,Yes,No,Yes,Yes,
highlightjs__highlight.js-2740,No,No,No,No,
highlightjs__highlight.js-2958,Yes,Yes,Yes,Yes,
highlightjs__highlight.js-3559,No,No,No,No,
highlightjs__highlight.js-3154,No,No,No,No,
highlightjs__highlight.js-2927,No,No,No,No,
highlightjs__highlight.js-2811,No,No,No,No,
highlightjs__highlight.js-2932,No,No,No,No,
highlightjs__highlight.js-3018,Yes,Yes,Yes,Yes,
highlightjs__highlight.js-3367,No,No,No,No,
highlightjs__highlight.js-2785,No,No,No,No,
highlightjs__highlight.js-2765,No,No,No,No,
highlightjs__highlight.js-2727,No,No,No,No,
highlightjs__highlight.js-3203,No,No,No,No,
highlightjs__highlight.js-3381,Yes,No,Yes,No,
highlightjs__highlight.js-2897,No,No,No,No,
highlightjs__highlight.js-2899,No,No,No,No,
highlightjs__highlight.js-2703,No,No,No,No,
highlightjs__highlight.js-3457,No,No,No,No,
highlightjs__highlight.js-3438,No,No,No,No,
highlightjs__highlight.js-3516,No,No,No,No,
highlightjs__highlight.js-3316,No,No,No,No,
highlightjs__highlight.js-2684,No,No,No,No,
highlightjs__highlight.js-3212,No,No,No,No,
highlightjs__highlight.js-3207,No,No,No,No,
highlightjs__highlight.js-3644,Yes,No,Yes,No,
highlightjs__highlight.js-2750,No,No,No,No,
highlightjs__highlight.js-3278,No,No,No,No,
highlightjs__highlight.js-3287,No,No,No,No,
highlightjs__highlight.js-2726,No,No,No,No,
highlightjs__highlight.js-2704,No,No,No,No,
highlightjs__highlight.js-3000,No,No,No,No,
highlightjs__highlight.js-3411,No,No,No,No,
highlightjs__highlight.js-3070,No,No,No,No,
highlightjs__highlight.js-2972,No,No,No,No,
highlightjs__highlight.js-3301,No,No,No,No,
highlightjs__highlight.js-3312,Yes,Yes,Yes,Yes,
highlightjs__highlight.js-2960,No,No,No,No,
highlightjs__highlight.js-2969,No,No,No,No,
highlightjs__highlight.js-3249,No,No,No,No,
GoogleChrome__lighthouse-3442,No,Yes,No,Yes,
GoogleChrome__lighthouse-6922,No,No,No,No,
GoogleChrome__lighthouse-4036,Yes,Yes,Yes,Yes,
GoogleChrome__lighthouse-15054,No,No,No,No,
GoogleChrome__lighthouse-4301,No,No,No,No,
GoogleChrome__lighthouse-1617,No,No,No,No,
GoogleChrome__lighthouse-14672,No,No,No,No,
GoogleChrome__lighthouse-1941,No,No,No,No,
GoogleChrome__lighthouse-1446,No,No,No,No,
GoogleChrome__lighthouse-1916,No,No,No,No,
GoogleChrome__lighthouse-3692,No,No,No,No,
GoogleChrome__lighthouse-5011,No,No,Yes,No,
GoogleChrome__lighthouse-12067,Yes,Yes,Yes,Yes,
GoogleChrome__lighthouse-3606,No,No,No,No,
GoogleChrome__lighthouse-11068,No,No,No,No,
GoogleChrome__lighthouse-5871,No,No,No,No,
GoogleChrome__lighthouse-10295,No,No,No,No,
GoogleChrome__lighthouse-14479,No,No,No,No,
GoogleChrome__lighthouse-9932,No,No,No,No,
GoogleChrome__lighthouse-11489,No,No,No,No,
GoogleChrome__lighthouse-6989,No,No,No,No,
GoogleChrome__lighthouse-10505,No,No,No,No,
GoogleChrome__lighthouse-9334,No,No,No,No,
GoogleChrome__lighthouse-7210,No,No,No,No,
GoogleChrome__lighthouse-1755,No,No,No,No,
GoogleChrome__lighthouse-9727,No,No,No,No,
GoogleChrome__lighthouse-7356,No,No,No,No,
GoogleChrome__lighthouse-9151,No,No,No,No,
GoogleChrome__lighthouse-11579,No,No,No,No,
GoogleChrome__lighthouse-12970,No,No,No,No,
GoogleChrome__lighthouse-5791,No,No,No,No,
GoogleChrome__lighthouse-1563,No,No,No,No,
GoogleChrome__lighthouse-2553,No,No,No,No,
GoogleChrome__lighthouse-1549,No,No,No,No,
GoogleChrome__lighthouse-14515,No,No,No,No,
GoogleChrome__lighthouse-14800,No,No,No,No,
GoogleChrome__lighthouse-13185,No,No,No,No,
GoogleChrome__lighthouse-9451,No,No,No,No,
GoogleChrome__lighthouse-9903,No,No,No,No,
GoogleChrome__lighthouse-11738,No,No,No,No,
GoogleChrome__lighthouse-5688,Yes,Yes,Yes,No,
GoogleChrome__lighthouse-8940,No,No,No,Yes,
GoogleChrome__lighthouse-6694,No,No,No,No,
GoogleChrome__lighthouse-5084,No,No,No,No,
GoogleChrome__lighthouse-14587,No,Yes,No,No,
GoogleChrome__lighthouse-1786,No,No,No,No,
GoogleChrome__lighthouse-2016,Yes,Yes,Yes,Yes,
GoogleChrome__lighthouse-5925,No,No,No,No,
GoogleChrome__lighthouse-2610,Yes,Yes,Yes,No,
GoogleChrome__lighthouse-9291,No,No,No,No,
GoogleChrome__lighthouse-15092,No,No,No,No,
GoogleChrome__lighthouse-10176,No,No,No,No,
GoogleChrome__lighthouse-1895,No,Yes,Yes,Yes,
GoogleChrome__lighthouse-3583,No,No,No,No,
bpmn-io__bpmn-js-1119,No,Yes,Yes,No,
bpmn-io__bpmn-js-1330,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1348,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1198,Yes,No,No,No,
bpmn-io__bpmn-js-1179,Yes,No,No,No,
bpmn-io__bpmn-js-1203,No,No,No,No,
bpmn-io__bpmn-js-1567,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1382,Yes,Yes,Yes,No,
bpmn-io__bpmn-js-1719,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1080,No,No,No,No,
bpmn-io__bpmn-js-1442,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1542,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1636,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1677,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1151,No,No,No,No,
bpmn-io__bpmn-js-1607,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1623,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-2024,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1192,No,No,No,No,
bpmn-io__bpmn-js-1200,Yes,Yes,No,Yes,
bpmn-io__bpmn-js-1610,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1143,No,Yes,No,No,
bpmn-io__bpmn-js-1578,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1238,No,No,No,Yes,
bpmn-io__bpmn-js-1584,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1083,Yes,No,No,Yes,
bpmn-io__bpmn-js-1928,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1659,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1085,No,No,No,Yes,
bpmn-io__bpmn-js-1802,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1172,No,Yes,Yes,Yes,
bpmn-io__bpmn-js-1638,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1434,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1644,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1206,No,Yes,No,Yes,
bpmn-io__bpmn-js-1679,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1640,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1847,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1365,No,No,No,No,
bpmn-io__bpmn-js-1196,Yes,Yes,No,No,
bpmn-io__bpmn-js-1011,No,No,No,No,
bpmn-io__bpmn-js-1092,No,No,No,Yes,
bpmn-io__bpmn-js-1337,No,Yes,Yes,Yes,
bpmn-io__bpmn-js-1256,No,No,No,No,
bpmn-io__bpmn-js-1655,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1438,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1720,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1221,Yes,No,Yes,No,
bpmn-io__bpmn-js-1557,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1174,No,No,Yes,No,
bpmn-io__bpmn-js-1236,No,No,No,No,
bpmn-io__bpmn-js-1570,Yes,Yes,Yes,Yes,
bpmn-io__bpmn-js-1299,Yes,Yes,No,Yes,
bpmn-io__bpmn-js-1168,Yes,No,Yes,No,
alibaba-fusion__next-1807,No,No,No,No,
alibaba-fusion__next-3345,No,No,No,No,
alibaba-fusion__next-1586,Yes,Yes,Yes,Yes,
alibaba-fusion__next-1067,Yes,Yes,Yes,Yes,
alibaba-fusion__next-966,No,No,No,No,
alibaba-fusion__next-2131,No,No,No,No,
alibaba-fusion__next-101,No,No,No,No,
alibaba-fusion__next-895,No,No,No,No,
alibaba-fusion__next-3454,Yes,Yes,Yes,Yes,
alibaba-fusion__next-2860,No,No,No,No,
alibaba-fusion__next-1742,No,No,No,No,
alibaba-fusion__next-4021,No,No,No,No,
alibaba-fusion__next-2919,No,No,No,No,
alibaba-fusion__next-4806,No,No,No,No,
alibaba-fusion__next-877,Yes,Yes,No,Yes,
alibaba-fusion__next-94,No,No,No,No,
alibaba-fusion__next-4859,No,No,No,No,
alibaba-fusion__next-870,No,No,No,No,
alibaba-fusion__next-2355,No,No,No,No,
alibaba-fusion__next-2984,Yes,Yes,No,Yes,
alibaba-fusion__next-3218,No,No,No,No,
alibaba-fusion__next-2923,No,No,No,No,
alibaba-fusion__next-1500,No,No,No,No,
alibaba-fusion__next-1064,Yes,Yes,Yes,Yes,
alibaba-fusion__next-114,No,No,No,No,
alibaba-fusion__next-3445,No,No,No,No,
alibaba-fusion__next-3724,No,No,No,No,
alibaba-fusion__next-3198,No,No,No,No,
alibaba-fusion__next-4182,No,Yes,Yes,Yes,
alibaba-fusion__next-1063,Yes,Yes,Yes,Yes,
alibaba-fusion__next-3947,No,No,No,No,
alibaba-fusion__next-1509,Yes,Yes,Yes,Yes,
alibaba-fusion__next-665,No,No,No,No,
alibaba-fusion__next-2164,No,No,No,No,
alibaba-fusion__next-717,Yes,Yes,Yes,Yes,
alibaba-fusion__next-3034,No,No,No,No,
alibaba-fusion__next-1708,No,No,No,No,
alibaba-fusion__next-1720,No,No,No,No,
alibaba-fusion__next-1788,No,No,No,No,
carbon-design-system__carbon-8092,No,No,Yes,No,
carbon-design-system__carbon-13224,No,No,No,No,
carbon-design-system__carbon-13218,No,No,No,No,
carbon-design-system__carbon-8469,No,No,No,No,
carbon-design-system__carbon-5330,No,No,No,No,
carbon-design-system__carbon-10262,No,No,No,No,
carbon-design-system__carbon-6726,No,No,No,No,
carbon-design-system__carbon-14476,No,No,No,No,
carbon-design-system__carbon-7270,No,Yes,No,Yes,
carbon-design-system__carbon-7063,Yes,Yes,No,No,
carbon-design-system__carbon-6964,Yes,No,Yes,Yes,
carbon-design-system__carbon-10225,No,No,No,No,
carbon-design-system__carbon-4260,No,No,No,No,
carbon-design-system__carbon-11664,Yes,Yes,Yes,Yes,
carbon-design-system__carbon-6566,No,No,No,No,
carbon-design-system__carbon-7350,Yes,No,No,No,
carbon-design-system__carbon-13851,No,No,No,No,
carbon-design-system__carbon-6906,No,Yes,No,No,
carbon-design-system__carbon-4226,No,Yes,No,No,
carbon-design-system__carbon-4820,No,No,No,No,
carbon-design-system__carbon-15197,No,No,No,No,
carbon-design-system__carbon-4431,No,No,Yes,No,
carbon-design-system__carbon-5156,Yes,Yes,Yes,Yes,
carbon-design-system__carbon-7722,No,No,Yes,Yes,
carbon-design-system__carbon-12430,No,Yes,Yes,No,
carbon-design-system__carbon-3118,No,Yes,Yes,No,
carbon-design-system__carbon-6410,No,No,No,No,
carbon-design-system__carbon-9402,Yes,No,No,Yes,
carbon-design-system__carbon-4741,No,No,No,No,
carbon-design-system__carbon-6197,No,No,No,No,
carbon-design-system__carbon-4862,No,No,No,No,
carbon-design-system__carbon-13527,No,No,No,No,
carbon-design-system__carbon-8912,No,No,No,No,
carbon-design-system__carbon-4028,No,No,No,No,
carbon-design-system__carbon-12329,Yes,No,Yes,No,
carbon-design-system__carbon-8477,No,No,No,No,
carbon-design-system__carbon-6442,No,No,No,No,
carbon-design-system__carbon-5173,No,No,No,No,
carbon-design-system__carbon-9074,No,No,No,No,
carbon-design-system__carbon-11613,No,No,No,No,
carbon-design-system__carbon-3283,No,No,No,No,
carbon-design-system__carbon-4952,No,No,No,No,
carbon-design-system__carbon-4991,No,No,No,No,
carbon-design-system__carbon-12332,No,No,No,No,
carbon-design-system__carbon-12384,No,Yes,No,Yes,
carbon-design-system__carbon-4055,No,No,No,No,
carbon-design-system__carbon-13317,Yes,No,Yes,No,
carbon-design-system__carbon-6976,No,Yes,Yes,Yes,
carbon-design-system__carbon-12412,No,No,No,No,
carbon-design-system__carbon-8720,Yes,No,No,No,
carbon-design-system__carbon-4999,No,No,No,No,
carbon-design-system__carbon-4891,No,No,No,No,
carbon-design-system__carbon-6960,No,Yes,No,No,
carbon-design-system__carbon-7212,No,No,No,No,
carbon-design-system__carbon-2885,No,No,No,No,
carbon-design-system__carbon-13421,No,No,No,No,
carbon-design-system__carbon-3362,No,No,No,No,
carbon-design-system__carbon-7619,No,Yes,Yes,No,
carbon-design-system__carbon-16237,No,No,No,No,
carbon-design-system__carbon-7687,No,No,No,No,
carbon-design-system__carbon-6675,Yes,Yes,Yes,Yes,
carbon-design-system__carbon-3824,No,No,Yes,No,
carbon-design-system__carbon-3859,No,No,No,No,
carbon-design-system__carbon-11416,No,No,No,No,
carbon-design-system__carbon-9994,No,No,No,No,
carbon-design-system__carbon-12445,No,Yes,No,No,
carbon-design-system__carbon-7353,No,No,No,No,
carbon-design-system__carbon-3253,No,No,No,No,
carbon-design-system__carbon-8130,No,No,No,No,
carbon-design-system__carbon-4834,No,No,No,No,
carbon-design-system__carbon-3347,Yes,Yes,Yes,Yes,
carbon-design-system__carbon-10188,No,No,No,No,
carbon-design-system__carbon-4816,No,No,No,No,
carbon-design-system__carbon-9700,No,No,No,No,
carbon-design-system__carbon-4347,No,Yes,Yes,No,
carbon-design-system__carbon-12435,No,No,No,No,
carbon-design-system__carbon-16332,No,No,No,No,
carbon-design-system__carbon-4678,No,Yes,Yes,Yes,
carbon-design-system__carbon-6691,Yes,Yes,Yes,Yes,
carbon-design-system__carbon-4430,No,No,No,No,
carbon-design-system__carbon-10214,No,No,No,No,
carbon-design-system__carbon-12302,No,Yes,No,No,
carbon-design-system__carbon-8452,No,No,No,No,
carbon-design-system__carbon-7768,No,No,No,No,
carbon-design-system__carbon-5035,No,No,No,No,
carbon-design-system__carbon-4354,Yes,Yes,Yes,Yes,
carbon-design-system__carbon-12151,No,No,No,No,
carbon-design-system__carbon-8945,No,No,No,Yes,
carbon-design-system__carbon-3610,Yes,Yes,Yes,Yes,
carbon-design-system__carbon-4167,Yes,Yes,Yes,No,
carbon-design-system__carbon-3918,No,No,No,No,
carbon-design-system__carbon-4273,No,No,No,No,
carbon-design-system__carbon-12442,No,No,No,No,
carbon-design-system__carbon-4754,No,No,No,No,
carbon-design-system__carbon-12027,No,No,No,No,
carbon-design-system__carbon-10283,No,No,No,No,
carbon-design-system__carbon-8222,No,No,No,No,
carbon-design-system__carbon-11352,No,No,No,No,
carbon-design-system__carbon-9812,No,No,No,No,
carbon-design-system__carbon-3928,No,No,No,No,
carbon-design-system__carbon-4307,No,No,No,No,
carbon-design-system__carbon-12410,Yes,Yes,Yes,Yes,
carbon-design-system__carbon-7046,Yes,No,No,No,
carbon-design-system__carbon-4286,No,No,No,No,
carbon-design-system__carbon-6949,No,No,No,No,
carbon-design-system__carbon-3237,No,No,No,No,
carbon-design-system__carbon-13364,Yes,No,No,No,
carbon-design-system__carbon-9189,No,No,No,No,
carbon-design-system__carbon-7478,No,No,No,No,
carbon-design-system__carbon-12262,No,No,No,No,
carbon-design-system__carbon-14239,No,No,No,No,
carbon-design-system__carbon-11743,No,No,No,No,
carbon-design-system__carbon-12402,No,No,No,Yes,
carbon-design-system__carbon-3139,No,No,No,No,
carbon-design-system__carbon-6520,No,No,No,No,
carbon-design-system__carbon-12420,No,No,Yes,Yes,
carbon-design-system__carbon-3626,No,No,No,No,
carbon-design-system__carbon-4801,No,No,No,No,
carbon-design-system__carbon-5485,No,No,No,No,
carbon-design-system__carbon-10301,No,No,No,No,
carbon-design-system__carbon-13196,No,No,No,No,
carbon-design-system__carbon-11621,No,No,No,No,
carbon-design-system__carbon-7908,No,No,No,No,
carbon-design-system__carbon-4680,Yes,No,Yes,Yes,
carbon-design-system__carbon-9136,Yes,Yes,Yes,No,
carbon-design-system__carbon-8022,No,No,No,No,
carbon-design-system__carbon-10599,No,No,No,No,
carbon-design-system__carbon-8279,No,No,No,No,
carbon-design-system__carbon-8296,No,No,No,No,
carbon-design-system__carbon-11761,No,No,No,No,
carbon-design-system__carbon-7288,No,No,No,No,
carbon-design-system__carbon-7012,No,No,No,No,
carbon-design-system__carbon-12398,Yes,No,Yes,No,
quarto-dev__quarto-cli-4539,No,No,No,No,
quarto-dev__quarto-cli-475,Yes,Yes,Yes,Yes,
quarto-dev__quarto-cli-5010,No,No,No,No,
quarto-dev__quarto-cli-6388,No,No,No,No,
quarto-dev__quarto-cli-5547,No,No,No,No,
quarto-dev__quarto-cli-2756,Yes,Yes,Yes,Yes,
quarto-dev__quarto-cli-1029,No,Yes,No,Yes,
quarto-dev__quarto-cli-4064,Yes,No,No,No,
quarto-dev__quarto-cli-896,No,No,No,No,
quarto-dev__quarto-cli-3853,No,No,No,No,
quarto-dev__quarto-cli-4025,No,No,No,No,
quarto-dev__quarto-cli-1373,No,Yes,Yes,No,
quarto-dev__quarto-cli-4695,No,No,No,No,
quarto-dev__quarto-cli-2689,Yes,Yes,No,No,
quarto-dev__quarto-cli-6659,No,No,No,No,
quarto-dev__quarto-cli-2583,No,No,No,No,
quarto-dev__quarto-cli-4184,Yes,No,Yes,No,
quarto-dev__quarto-cli-6902,No,No,No,No,
quarto-dev__quarto-cli-5292,No,No,No,No,
quarto-dev__quarto-cli-4708,No,No,No,No,
quarto-dev__quarto-cli-4732,No,No,No,No,
quarto-dev__quarto-cli-5091,No,No,No,No,
quarto-dev__quarto-cli-1650,No,No,No,No,
quarto-dev__quarto-cli-5064,No,No,No,No,
